         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.001    0.000    0.009    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/__init__.py:1391(_preprocess_data)
     4233    0.009    0.000    0.009    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:291(<listcomp>)
      954    0.000    0.000    0.009    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1542(is_alias)
        2    0.000    0.000    0.009    0.004 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:327(process)
    62598    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.008    0.008 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:211(ShowResults)
     4252    0.004    0.000    0.008    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1555(aliased_name)
        2    0.005    0.003    0.008    0.004 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:181(Infos)
    53920    0.008    0.000    0.008    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.007    0.007 /home/lorenzo/.local/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axis3d.py:1(<module>)
      141    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      105    0.002    0.000    0.007    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:170(<listcomp>)
 1005/195    0.004    0.000    0.007    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3/dist-packages/pyparsing.py:6398(pyparsing_common)
     8298    0.007    0.000    0.007    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/edge.py:212(bezier_cubic)
        1    0.000    0.000    0.007    0.007 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/quiver.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3/dist-packages/PIL/Image.py:1(<module>)
    76902    0.006    0.000    0.006    0.000 {method 'lstrip' of 'str' objects}
      875    0.005    0.000    0.006    0.000 /usr/lib/python3.10/inspect.py:2920(__init__)
      138    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      138    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.006    0.006 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/cm.py:1(<module>)
13329/13325    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
     1503    0.006    0.000    0.006    0.000 {method 'fill' of 'cairo.Context' objects}
    50002    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.005    0.005 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/table.py:1(<module>)
       27    0.000    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pyparsing.py:3294(__init__)
        2    0.001    0.001    0.005    0.003 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/metamagic.py:203(__init__)
       18    0.000    0.000    0.005    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:799(validate_cycler)
       48    0.000    0.000    0.005    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/__init__.py:1347(_add_data_doc)
      177    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       51    0.003    0.000    0.005    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:121(_build_objective)
      141    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.005    0.005 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/textpath.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1(<module>)
