         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:617(get_progress)
      248    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/core.py:28(__get__)
       43    0.000    0.000    0.000    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:505(__init__)
  762/753    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/loguru/_handler.py:127(emit)
       46    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/utils.py:273(_is_ascii)
       27    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copy)
      291    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      477    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:945(parent)
      127    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:231(__call__)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/cycles.py:351(_johnson_cycle_search)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:1446(format_dict)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/simmanager.py:947(get_input)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/convert.py:468(from_edgelist)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/components/strongly_connected.py:15(strongly_connected_components)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:186(__format__)
       22    0.000    0.000    0.000    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
       58    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       98    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/cosimaSim.py:19(schedule)
       32    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:102(acquire)
      944    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      217    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:490(<genexpr>)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      241    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:62(__init__)
       20    0.000    0.000    0.000    0.000 {method 'ListFields' of 'google.protobuf.pyext._message.CMessage' objects}
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/decoder.py:284(__init__)
      345    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/reportviews.py:424(__call__)
       27    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    0.000    0.000    0.000    0.000 {method 'format_map' of 'str' objects}
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:222(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scenario.py:652(cache_triggering_ancestors)
      193    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/cosimaSim.py:48(__lt__)
       32    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:106(release)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:944(_stop)
      293    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:168(_IsMapEntry)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/cycles.py:346(__missing__)
